Locus_tag	OperonID	Description
MSMEG_0080	operon_0037	NC_008596.1|gene79|MSMEG_0080
MSMEG_0081	operon_0037	NC_008596.1|gene80|MSMEG_0081
MSMEG_0082	operon_0037	NC_008596.1|gene81|MSMEG_0082
MSMEG_0083	operon_0037	NC_008596.1|gene82|MSMEG_0083
MSMEG_0084	operon_0038	NC_008596.1|gene83|MSMEG_0084
MSMEG_0085	operon_0038	NC_008596.1|gene84|MSMEG_0085
MSMEG_0086	operon_0038	NC_008596.1|gene85|MSMEG_0086
MSMEG_0087	operon_0038	NC_008596.1|gene86|MSMEG_0087
MSMEG_0088	operon_0039	NC_008596.1|gene87|MSMEG_0088|ptsI
MSMEG_0089	operon_0039	NC_008596.1|gene88|MSMEG_0089
MSMEG_0090	operon_0040	NC_008596.1|gene89|MSMEG_0090
MSMEG_0091	operon_0040	NC_008596.1|gene90|MSMEG_0091
MSMEG_0092	operon_0041	NC_008596.1|gene91|MSMEG_0092
MSMEG_0093	operon_0042	NC_008596.1|gene92|MSMEG_0093
MSMEG_0095	operon_0042	NC_008596.1|gene93|MSMEG_0095
MSMEG_0094	operon_0043	NC_008596.1|gene94|MSMEG_0094
MSMEG_0096	operon_0044	NC_008596.1|gene95|MSMEG_0096
MSMEG_0097	operon_0044	NC_008596.1|gene96|MSMEG_0097
MSMEG_0098	operon_0044	NC_008596.1|gene97|MSMEG_0098
MSMEG_0099	operon_0044	NC_008596.1|gene98|MSMEG_0099
MSMEG_0101	operon_0044	NC_008596.1|gene99|MSMEG_0101
MSMEG_0100	operon_0045	NC_008596.1|gene100|MSMEG_0100
MSMEG_0102	operon_0045	NC_008596.1|gene101|MSMEG_0102
MSMEG_0103	operon_0045	NC_008596.1|gene102|MSMEG_0103
MSMEG_0104	operon_0045	NC_008596.1|gene103|MSMEG_0104
MSMEG_0105	operon_0046	NC_008596.1|gene104|MSMEG_0105
MSMEG_0106	operon_0046	NC_008596.1|gene105|MSMEG_0106
MSMEG_0107	operon_0047	NC_008596.1|gene106|MSMEG_0107
MSMEG_0108	operon_0047	NC_008596.1|gene107|MSMEG_0108
MSMEG_0109	operon_0047	NC_008596.1|gene108|MSMEG_0109|pntB
MSMEG_0110	operon_0047	NC_008596.1|gene109|MSMEG_0110|pntA
MSMEG_0111	operon_0047	NC_008596.1|gene110|MSMEG_0111
MSMEG_0112	operon_0047	NC_008596.1|gene111|MSMEG_0112
MSMEG_0113	operon_0048	NC_008596.1|gene112|MSMEG_0113
MSMEG_0114	operon_0048	NC_008596.1|gene113|MSMEG_0114
MSMEG_0116	operon_0048	NC_008596.1|gene114|MSMEG_0116
MSMEG_0115	operon_0049	NC_008596.1|gene115|MSMEG_0115|dehII
MSMEG_0117	operon_0049	NC_008596.1|gene116|MSMEG_0117
MSMEG_0118	operon_0050	NC_008596.1|gene117|MSMEG_0118
MSMEG_0119	operon_0051	NC_008596.1|gene118|MSMEG_0119
MSMEG_0120	operon_0052	NC_008596.1|gene119|MSMEG_0120
MSMEG_0121	operon_0052	NC_008596.1|gene120|MSMEG_0121
MSMEG_0122	operon_0052	NC_008596.1|gene121|MSMEG_0122
MSMEG_0123	operon_0052	NC_008596.1|gene122|MSMEG_0123
MSMEG_0125	operon_0052	NC_008596.1|gene123|MSMEG_0125
MSMEG_0124	operon_0053	NC_008596.1|gene124|MSMEG_0124
MSMEG_0126	operon_0053	NC_008596.1|gene125|MSMEG_0126
MSMEG_0127	operon_0053	NC_008596.1|gene126|MSMEG_0127
MSMEG_0128	operon_0054	NC_008596.1|gene127|MSMEG_0128
MSMEG_0129	operon_0054	NC_008596.1|gene128|MSMEG_0129
MSMEG_0130	operon_0055	NC_008596.1|gene129|MSMEG_0130
MSMEG_0131	operon_0056	NC_008596.1|gene130|MSMEG_0131
MSMEG_0132	operon_0057	NC_008596.1|gene131|MSMEG_0132
MSMEG_0133	operon_0057	NC_008596.1|gene132|MSMEG_0133
MSMEG_0134	operon_0057	NC_008596.1|gene133|MSMEG_0134
MSMEG_0135	operon_0057	NC_008596.1|gene134|MSMEG_0135
MSMEG_0136	operon_0057	NC_008596.1|gene135|MSMEG_0136
MSMEG_0137	operon_0057	NC_008596.1|gene136|MSMEG_0137
MSMEG_0138	operon_0057	NC_008596.1|gene137|MSMEG_0138
MSMEG_0139	operon_0057	NC_008596.1|gene138|MSMEG_0139
MSMEG_0140	operon_0057	NC_008596.1|gene139|MSMEG_0140
MSMEG_0141	operon_0057	NC_008596.1|gene140|MSMEG_0141
MSMEG_0142	operon_0057	NC_008596.1|gene141|MSMEG_0142
MSMEG_0143	operon_0057	NC_008596.1|gene142|MSMEG_0143
MSMEG_0145	operon_0057	NC_008596.1|gene143|MSMEG_0145
MSMEG_0144	operon_0058	NC_008596.1|gene144|MSMEG_0144
MSMEG_0146	operon_0058	NC_008596.1|gene145|MSMEG_0146
MSMEG_0147	operon_0058	NC_008596.1|gene146|MSMEG_0147
MSMEG_0148	operon_0058	NC_008596.1|gene147|MSMEG_0148
MSMEG_0149	operon_0058	NC_008596.1|gene148|MSMEG_0149
MSMEG_0150	operon_0058	NC_008596.1|gene149|MSMEG_0150
MSMEG_0151	operon_0058	NC_008596.1|gene150|MSMEG_0151
MSMEG_0152	operon_0058	NC_008596.1|gene151|MSMEG_0152
MSMEG_0153	operon_0059	NC_008596.1|gene152|MSMEG_0153|panE
MSMEG_0154	operon_0059	NC_008596.1|gene153|MSMEG_0154|pyk
MSMEG_0155	operon_0060	NC_008596.1|gene154|MSMEG_0155
MSMEG_0156	operon_0061	NC_008596.1|gene155|MSMEG_0156
MSMEG_0157	operon_0062	NC_008596.1|gene156|MSMEG_0157
MSMEG_0158	operon_0062	NC_008596.1|gene157|MSMEG_0158
MSMEG_0159	operon_0063	NC_008596.1|gene158|MSMEG_0159
MSMEG_0160	operon_0063	NC_008596.1|gene159|MSMEG_0160
MSMEG_0161	operon_0063	NC_008596.1|gene160|MSMEG_0161
MSMEG_0162	operon_0063	NC_008596.1|gene161|MSMEG_0162
MSMEG_0163	operon_0064	NC_008596.1|gene162|MSMEG_0163
MSMEG_0164	operon_0064	NC_008596.1|gene163|MSMEG_0164
MSMEG_0165	operon_0065	NC_008596.1|gene164|MSMEG_0165|fdhD
MSMEG_0166	operon_0066	NC_008596.1|gene165|MSMEG_0166
MSMEG_0167	operon_0067	NC_008596.1|gene166|MSMEG_0167
MSMEG_0168	operon_0068	NC_008596.1|gene167|MSMEG_0168
MSMEG_0169	operon_0069	NC_008596.1|gene168|MSMEG_0169
MSMEG_0170	operon_0070	NC_008596.1|gene169|MSMEG_0170
MSMEG_0171	operon_0070	NC_008596.1|gene170|MSMEG_0171
MSMEG_0172	operon_0071	NC_008596.1|gene171|MSMEG_0172
MSMEG_0173	operon_0072	NC_008596.1|gene172|MSMEG_0173
MSMEG_0174	operon_0072	NC_008596.1|gene173|MSMEG_0174
MSMEG_0175	operon_0073	NC_008596.1|gene174|MSMEG_0175
MSMEG_0176	operon_0073	NC_008596.1|gene175|MSMEG_0176
MSMEG_0177	operon_0073	NC_008596.1|gene176|MSMEG_0177
MSMEG_0178	operon_0073	NC_008596.1|gene177|MSMEG_0178
MSMEG_0179	operon_0074	NC_008596.1|gene178|MSMEG_0179
MSMEG_0180	operon_0074	NC_008596.1|gene179|MSMEG_0180
MSMEG_0181	operon_0075	NC_008596.1|gene180|MSMEG_0181
MSMEG_0182	operon_0075	NC_008596.1|gene181|MSMEG_0182
MSMEG_0184	operon_0075	NC_008596.1|gene182|MSMEG_0184
MSMEG_0183	operon_0076	NC_008596.1|gene183|MSMEG_0183
MSMEG_0185	operon_0076	NC_008596.1|gene184|MSMEG_0185
MSMEG_0186	operon_0076	NC_008596.1|gene185|MSMEG_0186
MSMEG_0188	operon_0077	NC_008596.1|gene186|MSMEG_0188
MSMEG_0187	operon_0078	NC_008596.1|gene187|MSMEG_0187
MSMEG_0189	operon_0078	NC_008596.1|gene188|MSMEG_0189|anmK
MSMEG_0190	operon_0078	NC_008596.1|gene189|MSMEG_0190
MSMEG_0191	operon_0078	NC_008596.1|gene190|MSMEG_0191
MSMEG_0192	operon_0079	NC_008596.1|gene191|MSMEG_0192
MSMEG_0193	operon_0079	NC_008596.1|gene192|MSMEG_0193|murQ
MSMEG_0194	operon_0080	NC_008596.1|gene193|MSMEG_0194
MSMEG_0195	operon_0081	NC_008596.1|gene194|MSMEG_0195
MSMEG_0196	operon_0081	NC_008596.1|gene195|MSMEG_0196
MSMEG_0197	operon_0082	NC_008596.1|gene196|MSMEG_0197
MSMEG_0198	operon_0082	NC_008596.1|gene197|MSMEG_0198
MSMEG_0199	operon_0083	NC_008596.1|gene198|MSMEG_0199
MSMEG_0200	operon_0084	NC_008596.1|gene199|MSMEG_0200
MSMEG_0201	operon_0085	NC_008596.1|gene200|MSMEG_0201
MSMEG_0202	operon_0086	NC_008596.1|gene201|MSMEG_0202
MSMEG_0203	operon_0087	NC_008596.1|gene202|MSMEG_0203
MSMEG_0204	operon_0088	NC_008596.1|gene203|MSMEG_0204
MSMEG_0205	operon_0089	NC_008596.1|gene204|MSMEG_0205
MSMEG_0207	operon_0090	NC_008596.1|gene205|MSMEG_0207
MSMEG_0206	operon_0091	NC_008596.1|gene206|MSMEG_0206
MSMEG_0208	operon_0092	NC_008596.1|gene207|MSMEG_0208
MSMEG_0209	operon_0092	NC_008596.1|gene208|MSMEG_0209
MSMEG_0210	operon_0093	NC_008596.1|gene209|MSMEG_0210
MSMEG_0211	operon_0093	NC_008596.1|gene210|MSMEG_0211
MSMEG_0212	operon_0093	NC_008596.1|gene211|MSMEG_0212
MSMEG_0213	operon_0093	NC_008596.1|gene212|MSMEG_0213
MSMEG_0214	operon_0093	NC_008596.1|gene213|MSMEG_0214
MSMEG_0215	operon_0093	NC_008596.1|gene214|MSMEG_0215
MSMEG_0216	operon_0094	NC_008596.1|gene215|MSMEG_0216
MSMEG_0217	operon_0095	NC_008596.1|gene216|MSMEG_0217
MSMEG_0218	operon_0096	NC_008596.1|gene217|MSMEG_0218
MSMEG_0219	operon_0097	NC_008596.1|gene218|MSMEG_0219
MSMEG_0220	operon_0098	NC_008596.1|gene219|MSMEG_0220
MSMEG_0221	operon_0098	NC_008596.1|gene220|MSMEG_0221
MSMEG_0222	operon_0098	NC_008596.1|gene221|MSMEG_0222
MSMEG_0223	operon_0098	NC_008596.1|gene222|MSMEG_0223
MSMEG_0224	operon_0098	NC_008596.1|gene223|MSMEG_0224
MSMEG_0225	operon_0099	NC_008596.1|gene224|MSMEG_0225
MSMEG_0226	operon_0099	NC_008596.1|gene225|MSMEG_0226
MSMEG_0227	operon_0100	NC_008596.1|gene226|MSMEG_0227
MSMEG_0228	operon_0100	NC_008596.1|gene227|MSMEG_0228
MSMEG_0229	operon_0101	NC_008596.1|gene228|MSMEG_0229|ilvD
MSMEG_0230	operon_0102	NC_008596.1|gene229|MSMEG_0230
MSMEG_0231	operon_0103	NC_008596.1|gene230|MSMEG_0231
MSMEG_0232	operon_0104	NC_008596.1|gene231|MSMEG_0232
MSMEG_0233	operon_0105	NC_008596.1|gene232|MSMEG_0233
MSMEG_0234	operon_0106	NC_008596.1|gene233|MSMEG_0234
MSMEG_0235	operon_0107	NC_008596.1|gene234|MSMEG_0235
MSMEG_0236	operon_0107	NC_008596.1|gene235|MSMEG_0236
MSMEG_0237	operon_0107	NC_008596.1|gene236|MSMEG_0237
MSMEG_0238	operon_0108	NC_008596.1|gene237|MSMEG_0238
MSMEG_0239	operon_0108	NC_008596.1|gene238|MSMEG_0239
MSMEG_0240	operon_0108	NC_008596.1|gene239|MSMEG_0240
MSMEG_0241	operon_0108	NC_008596.1|gene240|MSMEG_0241
MSMEG_0242	operon_0109	NC_008596.1|gene241|MSMEG_0242
MSMEG_0243	operon_0110	NC_008596.1|gene242|MSMEG_0243
MSMEG_0244	operon_0110	NC_008596.1|gene243|MSMEG_0244
MSMEG_0246	operon_0110	NC_008596.1|gene244|MSMEG_0246
MSMEG_0245	operon_0111	NC_008596.1|gene245|MSMEG_0245
MSMEG_0247	operon_0111	NC_008596.1|gene246|MSMEG_0247
MSMEG_0248	operon_0111	NC_008596.1|gene247|MSMEG_0248
MSMEG_0249	operon_0112	NC_008596.1|gene248|MSMEG_0249
MSMEG_0250	operon_0113	NC_008596.1|gene249|MSMEG_0250
MSMEG_0251	operon_0113	NC_008596.1|gene250|MSMEG_0251
MSMEG_0252	operon_0113	NC_008596.1|gene251|MSMEG_0252|trmB
MSMEG_0253	operon_0114	NC_008596.1|gene252|MSMEG_0253
MSMEG_0254	operon_0114	NC_008596.1|gene253|MSMEG_0254
MSMEG_0255	operon_0115	NC_008596.1|gene254|MSMEG_0255
MSMEG_0256	operon_0115	NC_008596.1|gene255|MSMEG_0256
MSMEG_0257	operon_0115	NC_008596.1|gene256|MSMEG_0257
MSMEG_0259	operon_0115	NC_008596.1|gene257|MSMEG_0259
MSMEG_0258	operon_0116	NC_008596.1|gene258|MSMEG_0258
MSMEG_0260	operon_0117	NC_008596.1|gene259|MSMEG_0260
MSMEG_0261	operon_0117	NC_008596.1|gene260|MSMEG_0261
MSMEG_0262	operon_0117	NC_008596.1|gene261|MSMEG_0262
MSMEG_0263	operon_0117	NC_008596.1|gene262|MSMEG_0263
MSMEG_0264	operon_0118	NC_008596.1|gene263|MSMEG_0264
MSMEG_0266	operon_0118	NC_008596.1|gene264|MSMEG_0266
MSMEG_0265	operon_0119	NC_008596.1|gene265|MSMEG_0265
MSMEG_0267	operon_0120	NC_008596.1|gene266|MSMEG_0267
MSMEG_0268	operon_0121	NC_008596.1|gene267|MSMEG_0268
MSMEG_0269	operon_0121	NC_008596.1|gene268|MSMEG_0269
MSMEG_0270	operon_0121	NC_008596.1|gene269|MSMEG_0270
MSMEG_0271	operon_0121	NC_008596.1|gene270|MSMEG_0271
MSMEG_0272	operon_0121	NC_008596.1|gene271|MSMEG_0272
MSMEG_0273	operon_0121	NC_008596.1|gene272|MSMEG_0273
MSMEG_0274	operon_0121	NC_008596.1|gene273|MSMEG_0274
MSMEG_0275	operon_0121	NC_008596.1|gene274|MSMEG_0275
MSMEG_0276	operon_0121	NC_008596.1|gene275|MSMEG_0276
MSMEG_0277	operon_0121	NC_008596.1|gene276|MSMEG_0277
MSMEG_0279	operon_0122	NC_008596.1|gene277|MSMEG_0279
MSMEG_0278	operon_0123	NC_008596.1|gene278|MSMEG_0278
MSMEG_0280	operon_0123	NC_008596.1|gene279|MSMEG_0280
MSMEG_0281	operon_0124	NC_008596.1|gene280|MSMEG_0281
MSMEG_0282	operon_0124	NC_008596.1|gene281|MSMEG_0282
MSMEG_0283	operon_0124	NC_008596.1|gene282|MSMEG_0283
MSMEG_0284	operon_0125	NC_008596.1|gene283|MSMEG_0284
MSMEG_0285	operon_0125	NC_008596.1|gene284|MSMEG_0285
MSMEG_0286	operon_0126	NC_008596.1|gene285|MSMEG_0286
MSMEG_0287	operon_0126	NC_008596.1|gene286|MSMEG_0287
MSMEG_0288	operon_0127	NC_008596.1|gene287|MSMEG_0288
MSMEG_0289	operon_0128	NC_008596.1|gene288|MSMEG_0289
MSMEG_0290	operon_0128	NC_008596.1|gene289|MSMEG_0290
MSMEG_0291	operon_0129	NC_008596.1|gene290|MSMEG_0291
MSMEG_0292	operon_0129	NC_008596.1|gene291|MSMEG_0292
MSMEG_0293	operon_0129	NC_008596.1|gene292|MSMEG_0293
MSMEG_0294	operon_0129	NC_008596.1|gene293|MSMEG_0294|fabG
MSMEG_0295	operon_0129	NC_008596.1|gene294|MSMEG_0295
MSMEG_0296	operon_0129	NC_008596.1|gene295|MSMEG_0296
MSMEG_0297	operon_0129	NC_008596.1|gene296|MSMEG_0297
MSMEG_0298	operon_0129	NC_008596.1|gene297|MSMEG_0298
MSMEG_0299	operon_0129	NC_008596.1|gene298|MSMEG_0299
MSMEG_0300	operon_0130	NC_008596.1|gene299|MSMEG_0300
MSMEG_0301	operon_0131	NC_008596.1|gene300|MSMEG_0301
MSMEG_0303	operon_0132	NC_008596.1|gene301|MSMEG_0303
MSMEG_0302	operon_0133	NC_008596.1|gene302|MSMEG_0302
MSMEG_0304	operon_0133	NC_008596.1|gene303|MSMEG_0304
MSMEG_0305	operon_0133	NC_008596.1|gene304|MSMEG_0305
MSMEG_0306	operon_0134	NC_008596.1|gene305|MSMEG_0306
MSMEG_0307	operon_0134	NC_008596.1|gene306|MSMEG_0307
MSMEG_0308	operon_0134	NC_008596.1|gene307|MSMEG_0308
MSMEG_0309	operon_0135	NC_008596.1|gene308|MSMEG_0309
MSMEG_0310	operon_0135	NC_008596.1|gene309|MSMEG_0310
MSMEG_0311	operon_0136	NC_008596.1|gene310|MSMEG_0311
MSMEG_0312	operon_0137	NC_008596.1|gene311|MSMEG_0312|eda
MSMEG_0313	operon_0137	NC_008596.1|gene312|MSMEG_0313|edd
MSMEG_0314	operon_0137	NC_008596.1|gene313|MSMEG_0314|zwf
MSMEG_0316	operon_0138	NC_008596.1|gene314|MSMEG_0316
MSMEG_0315	operon_0139	NC_008596.1|gene315|MSMEG_0315
MSMEG_0317	operon_0139	NC_008596.1|gene316|MSMEG_0317
MSMEG_0319	operon_0140	NC_008596.1|gene317|MSMEG_0319
MSMEG_0318	operon_0141	NC_008596.1|gene318|MSMEG_0318
MSMEG_0320	operon_0141	NC_008596.1|gene319|MSMEG_0320
MSMEG_0321	operon_0141	NC_008596.1|gene320|MSMEG_0321
MSMEG_0322	operon_0141	NC_008596.1|gene321|MSMEG_0322
MSMEG_0323	operon_0142	NC_008596.1|gene322|MSMEG_0323
MSMEG_0324	operon_0143	NC_008596.1|gene323|MSMEG_0324
MSMEG_0325	operon_0143	NC_008596.1|gene324|MSMEG_0325
MSMEG_0326	operon_0143	NC_008596.1|gene325|MSMEG_0326
MSMEG_0327	operon_0143	NC_008596.1|gene326|MSMEG_0327
MSMEG_0328	operon_0143	NC_008596.1|gene327|MSMEG_0328
MSMEG_0329	operon_0143	NC_008596.1|gene328|MSMEG_0329
MSMEG_0330	operon_0144	NC_008596.1|gene329|MSMEG_0330
MSMEG_0331	operon_0144	NC_008596.1|gene330|MSMEG_0331
MSMEG_0332	operon_0145	NC_008596.1|gene331|MSMEG_0332
MSMEG_0333	operon_0145	NC_008596.1|gene332|MSMEG_0333
MSMEG_0334	operon_0145	NC_008596.1|gene333|MSMEG_0334
MSMEG_0335	operon_0145	NC_008596.1|gene334|MSMEG_0335
MSMEG_0336	operon_0145	NC_008596.1|gene335|MSMEG_0336
MSMEG_0337	operon_0145	NC_008596.1|gene336|MSMEG_0337
MSMEG_0338	operon_0145	NC_008596.1|gene337|MSMEG_0338
MSMEG_0339	operon_0145	NC_008596.1|gene338|MSMEG_0339
MSMEG_0340	operon_0145	NC_008596.1|gene339|MSMEG_0340
MSMEG_0341	operon_0146	NC_008596.1|gene340|MSMEG_0341
MSMEG_0342	operon_0146	NC_008596.1|gene341|MSMEG_0342
MSMEG_0343	operon_0147	NC_008596.1|gene342|MSMEG_0343
MSMEG_0344	operon_0148	NC_008596.1|gene343|MSMEG_0344
MSMEG_0345	operon_0148	NC_008596.1|gene344|MSMEG_0345
MSMEG_0346	operon_0148	NC_008596.1|gene345|MSMEG_0346
MSMEG_0347	operon_0148	NC_008596.1|gene346|MSMEG_0347
MSMEG_0348	operon_0148	NC_008596.1|gene347|MSMEG_0348
MSMEG_0349	operon_0148	NC_008596.1|gene348|MSMEG_0349
MSMEG_0350	operon_0148	NC_008596.1|gene349|MSMEG_0350
MSMEG_0351	operon_0148	NC_008596.1|gene350|MSMEG_0351
MSMEG_0352	operon_0148	NC_008596.1|gene351|MSMEG_0352
MSMEG_0353	operon_0148	NC_008596.1|gene352|MSMEG_0353
MSMEG_0354	operon_0148	NC_008596.1|gene353|MSMEG_0354
MSMEG_0355	operon_0148	NC_008596.1|gene354|MSMEG_0355
MSMEG_0356	operon_0149	NC_008596.1|gene355|MSMEG_0356
MSMEG_0357	operon_0150	NC_008596.1|gene356|MSMEG_0357
MSMEG_0358	operon_0150	NC_008596.1|gene357|MSMEG_0358
MSMEG_0359	operon_0151	NC_008596.1|gene358|MSMEG_0359
MSMEG_0360	operon_0151	NC_008596.1|gene359|MSMEG_0360
MSMEG_0361	operon_0152	NC_008596.1|gene360|MSMEG_0361
MSMEG_0362	operon_0153	NC_008596.1|gene361|MSMEG_0362
MSMEG_0363	operon_0154	NC_008596.1|gene362|MSMEG_0363
MSMEG_0364	operon_0154	NC_008596.1|gene363|MSMEG_0364
MSMEG_0365	operon_0154	NC_008596.1|gene364|MSMEG_0365
MSMEG_0366	operon_0154	NC_008596.1|gene365|MSMEG_0366
MSMEG_0367	operon_0155	NC_008596.1|gene366|MSMEG_0367
MSMEG_0368	operon_0156	NC_008596.1|gene367|MSMEG_0368
MSMEG_0369	operon_0156	NC_008596.1|gene368|MSMEG_0369
MSMEG_0370	operon_0156	NC_008596.1|gene369|MSMEG_0370
MSMEG_0371	operon_0157	NC_008596.1|gene370|MSMEG_0371
MSMEG_0372	operon_0157	NC_008596.1|gene371|MSMEG_0372|fabG
MSMEG_0373	operon_0158	NC_008596.1|gene372|MSMEG_0373
MSMEG_0374	operon_0159	NC_008596.1|gene373|MSMEG_0374
MSMEG_0375	operon_0159	NC_008596.1|gene374|MSMEG_0375
MSMEG_0376	operon_0160	NC_008596.1|gene375|MSMEG_0376
MSMEG_0377	operon_0160	NC_008596.1|gene376|MSMEG_0377
MSMEG_0378	operon_0160	NC_008596.1|gene377|MSMEG_0378|nthA
MSMEG_0379	operon_0160	NC_008596.1|gene378|MSMEG_0379
MSMEG_0380	operon_0161	NC_008596.1|gene379|MSMEG_0380
MSMEG_0381	operon_0161	NC_008596.1|gene380|MSMEG_0381
MSMEG_0382	operon_0161	NC_008596.1|gene381|MSMEG_0382
MSMEG_0383	operon_0162	NC_008596.1|gene382|MSMEG_0383
MSMEG_0384	operon_0163	NC_008596.1|gene383|MSMEG_0384|rfbA
MSMEG_0385	operon_0164	NC_008596.1|gene384|MSMEG_0385
