locus_tag	old_locus_tag	gene	Name	start	end	strand	product	note	type	ID	NCBI
MSMEG_0011	MSMEG_0011		MSMEG_0011	10411	11211	+	hypothetical protein	identified by match to protein family HMM PF04954%3B match to protein family HMM PF08021	gene	gene10	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0011
MSMEG_0012	MSMEG_0012		MSMEG_0012	11215	12246	+	ferric enterobactin transporter permease FepD	identified by match to protein family HMM PF01032	gene	gene11	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0012
MSMEG_0013	MSMEG_0013		MSMEG_0013	12272	13301	+		ferric enterobactin transporter permease FepG%3B this gene contains a frame shift which is not the result of sequencing error%3B identified by match to protein family HMM PF01032	gene	gene12	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0013
MSMEG_0014	MSMEG_0014		MSMEG_0014	14130	15098	-	Formyl transferase	identified by match to protein family HMM PF00551%3B match to protein family HMM PF02911	gene	gene14	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0014
MSMEG_0015	MSMEG_0015		MSMEG_0015	13310	14140	+	ferric enterobactin transport ATP-binding protein FepC	identified by match to protein family HMM PF00005	gene	gene13	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0015
MSMEG_0016	MSMEG_0016		MSMEG_0016	15256	15522	+	hypothetical protein	identified by match to protein family HMM PF03621	gene	gene15	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0016
MSMEG_0017	MSMEG_0017		MSMEG_0017	15525	17252	+	ABC transporter permease	identified by match to protein family HMM PF00005%3B match to protein family HMM PF00664	gene	gene16	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0017
MSMEG_0018	MSMEG_0018		MSMEG_0018	17249	19018	+	ABC transporter permease	identified by match to protein family HMM PF00005%3B match to protein family HMM PF00664	gene	gene17	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0018
MSMEG_0019	MSMEG_0019		MSMEG_0019	19052	41623	+	amino acid adenylation protein	identified by match to protein family HMM PF00501%3B match to protein family HMM PF00550%3B match to protein family HMM PF00668%3B match to protein family HMM PF00975%3B match to protein family HMM TIGR01720%3B match to protein family HMM TIGR01733	gene	gene18	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0019
MSMEG_0020	MSMEG_0020		MSMEG_0020	41689	42636	-	periplasmic binding protein	identified by match to protein family HMM PF01497	gene	gene19	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0020
MSMEG_0021	MSMEG_0021	panD	panD	42944	43354	+	aspartate alpha-decarboxylase	Converts L-aspartate to beta-alanine and provides the major route of beta-alanine production in bacteria. beta-alanine is essential for the biosynthesis of pantothenate (vitamin B5)	gene	gene20	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0021
MSMEG_0022	MSMEG_0022		MSMEG_0022	43366	44688	+	L-ornithine 5-monooxygenase		gene	gene21	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0022
MSMEG_0023	MSMEG_0023		MSMEG_0023	44692	45102	-	hypothetical protein		gene	gene22	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0023
MSMEG_0024	MSMEG_0024		MSMEG_0024	45223	45750	+	peptidyl-prolyl cis-trans isomerase B	identified by match to protein family HMM PF00160	gene	gene23	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0024
MSMEG_0025	MSMEG_0025		MSMEG_0025	45854	46261	-	hypothetical protein		gene	gene24	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0025
MSMEG_0026	MSMEG_0026		MSMEG_0026	46417	46701	-	septation inhibitor protein	integral membrane protein involved in inhibition of the Z-ring formation	gene	gene25	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0026
MSMEG_0027	MSMEG_0027		MSMEG_0027	46797	47546	+	hypothetical protein	identified by match to protein family HMM PF05949	gene	gene26	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0027
MSMEG_0028	MSMEG_0028		MSMEG_0028	48216	50093	-	serine-threonine protein kinase	identified by match to protein family HMM PF00069%3B match to protein family HMM PF03793	gene	gene28	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0028
MSMEG_0029	MSMEG_0029		MSMEG_0029	47564	48238	+	para-aminobenzoate synthase component II	aminodeoxychorismate synthase subunit PabA%3B with PabB catalyzes the formation of 4-amino-4-deoxychorismate from chorismate and glutamine in para-aminobenzoate synthesis%3B PabA provides the glutamine amidotransferase activity	gene	gene27	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0029
MSMEG_0030	MSMEG_0030	pknA	pknA	50090	51349	-	serine/threonine protein kinase	identified by match to protein family HMM PF00069	gene	gene29	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0030
MSMEG_0031	MSMEG_0031		MSMEG_0031	51381	52856	-	penicillin binding protein transpeptidase domain-containing protein	identified by match to protein family HMM PF00905	gene	gene30	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0031
MSMEG_0032	MSMEG_0032		MSMEG_0032	52853	54268	-	cell cycle protein%2C FtsW/RodA/SpoVE family protein	identified by match to protein family HMM PF01098	gene	gene31	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0032
MSMEG_0033	MSMEG_0033		MSMEG_0033	54265	55803	-	protein phosphatase 2C	identified by match to protein family HMM PF00481	gene	gene32	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0033
MSMEG_0034	MSMEG_0034		MSMEG_0034	55826	56293	-	FHA domain-containing protein	identified by match to protein family HMM PF00498	gene	gene33	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0034
MSMEG_0035	MSMEG_0035		MSMEG_0035	56429	57892	-	FHA domain-containing protein	identified by match to protein family HMM PF00498	gene	gene34	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0035
MSMEG_0036	MSMEG_0036		MSMEG_0036	58033	58140	-	hypothetical protein		gene	gene35	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0036
MSMEG_0037	MSMEG_0037		MSMEG_0037	58144	58226	+	tRNA-Leu		tRNA	gene36	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0037
MSMEG_0038	MSMEG_0038		MSMEG_0038	58186	58648	+		glucose-methanol-choline oxidoreductase%3B this region contains one or more premature stops and/or frameshifts which are not the result of sequencing error	gene	gene37	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0038
MSMEG_0039	MSMEG_0039		MSMEG_0039	58655	59029	-	small membrane hydrophobic protein		gene	gene38	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0039
MSMEG_0040	MSMEG_0040		MSMEG_0040	59041	59346	-	hypothetical protein		gene	gene39	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0040
MSMEG_0041	MSMEG_0041		MSMEG_0041	59348	59824	-	hypothetical protein		gene	gene40	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0041
MSMEG_0042	MSMEG_0042		MSMEG_0042	59900	60463	+	TetR family transcriptional regulator	identified by match to protein family HMM PF00440	gene	gene41	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0042
MSMEG_0043	MSMEG_0043		MSMEG_0043	60479	61303	-	extradiol ring-cleavage dioxygenase%2C class III enzyme%2C subunit B	identified by match to protein family HMM PF02900	gene	gene42	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0043
MSMEG_0044	MSMEG_0044		MSMEG_0044	61470	63548	+	hypothetical protein		gene	gene43	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0044
MSMEG_0045	MSMEG_0045		MSMEG_0045	63545	66013	+	hypothetical protein		gene	gene44	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0045
MSMEG_0046	MSMEG_0046		MSMEG_0046	66010	67167	+	hypothetical protein		gene	gene45	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0046
MSMEG_0047	MSMEG_0047		MSMEG_0047	67182	68117	-	hypothetical protein		gene	gene46	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0047
MSMEG_0048	MSMEG_0048		MSMEG_0048	68264	68767	+	pyridoxamine 5'-phosphate oxidase	identified by match to protein family HMM PF01243	gene	gene47	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0048
MSMEG_0049	MSMEG_0049		MSMEG_0049	68769	69734	-	pirin	identified by match to protein family HMM PF02678%3B match to protein family HMM PF05726	gene	gene48	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0049
MSMEG_0050	MSMEG_0050		MSMEG_0050	69779	70045	+	hypothetical protein		gene	gene49	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0050
MSMEG_0051	MSMEG_0051		MSMEG_0051	70234	70527	-	transcription factor WhiB family protein	identified by match to protein family HMM PF02467	gene	gene50	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0051
MSMEG_0052	MSMEG_0052		MSMEG_0052	70911	71690	+	hypothetical protein		gene	gene51	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0052
MSMEG_0053	MSMEG_0053		MSMEG_0053	72820	74208	-	hypothetical protein		gene	gene53	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0053
MSMEG_0054	MSMEG_0054		MSMEG_0054	71738	72823	+	ISMsm2%2C transposase	identified by similarity to GB:CAD18826.1	gene	gene52	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0054
MSMEG_0055	MSMEG_0055		MSMEG_0055	74600	76177	+	hypothetical protein		gene	gene54	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0055
MSMEG_0056	MSMEG_0056		MSMEG_0056	76213	76530	+	hypothetical protein		gene	gene55	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0056
MSMEG_0057	MSMEG_0057		MSMEG_0057	76535	77383	+	hypothetical protein		gene	gene56	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0057
MSMEG_0058	MSMEG_0058		MSMEG_0058	77398	77925	+	hypothetical protein		gene	gene57	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0058
MSMEG_0059	MSMEG_0059		MSMEG_0059	77918	79642	+	ATPase AAA	identified by match to protein family HMM PF00004	gene	gene58	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0059
MSMEG_0060	MSMEG_0060		MSMEG_0060	79650	81089	+	hypothetical protein	identified by match to protein family HMM PF05108	gene	gene59	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0060
MSMEG_0061	MSMEG_0061		MSMEG_0061	81089	83317	+	ftsk/SpoIIIE family protein	identified by match to protein family HMM PF01580	gene	gene60	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0061
MSMEG_0062	MSMEG_0062		MSMEG_0062	83318	85099	+	ftsk/SpoIIIE family protein	identified by match to protein family HMM PF01580	gene	gene61	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0062
MSMEG_0063	MSMEG_0063		MSMEG_0063	85248	85541	+	PE family protein		gene	gene62	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0063
MSMEG_0064	MSMEG_0064		MSMEG_0064	85616	86911	+	PPE family protein	identified by match to protein family HMM PF00823	gene	gene63	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0064
MSMEG_0065	MSMEG_0065		MSMEG_0065	86997	87299	+	hypothetical protein		gene	gene64	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0065
MSMEG_0066	MSMEG_0066		MSMEG_0066	87331	87618	+	early secretory antigenic target%2C 6 kDa		gene	gene65	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0066
MSMEG_0067	MSMEG_0067		MSMEG_0067	87738	89162	+	hypothetical protein		gene	gene66	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0067
MSMEG_0068	MSMEG_0068		MSMEG_0068	89159	90691	+	transmembrane protein	identified by match to protein family HMM PF04600%3B match to protein family HMM TIGR02958	gene	gene67	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0068
MSMEG_0069	MSMEG_0069		MSMEG_0069	91173	91874	+	translation initiation factor IF-2		gene	gene68	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0069
MSMEG_0070	MSMEG_0070		MSMEG_0070	92737	93072	+	hypothetical protein		gene	gene69	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0070
MSMEG_0071	MSMEG_0071		MSMEG_0071	93072	95339	+	hypothetical protein		gene	gene70	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0071
MSMEG_0072	MSMEG_0072		MSMEG_0072	95440	96300	-		This gene is disrupted by an IS1549 element.%3B IS1549%2C transposase%2C interruption-C%3B identified by similarity to GB:AAC38260.1	gene	gene71	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0072
MSMEG_0073	MSMEG_0073		MSMEG_0073	97891	99105	-		This gene is disrupted by an IS1549 element.%3B IS1549%2C transposase%2C interruption-N%3B identified by similarity to GP:2935133%3B match to protein family HMM PF01609	gene	gene73	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0073
MSMEG_0074	MSMEG_0074		MSMEG_0074	96469	97935	+	IS1549%2C transposase	identified by similarity to GP:2935133%3B match to protein family HMM PF01609	gene	gene72	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0074
MSMEG_0075	MSMEG_0075		MSMEG_0075	99229	99585	+	hypothetical protein		gene	gene74	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0075
MSMEG_0076	MSMEG_0076		MSMEG_0076	99798	101360	+	antigen MTB48		gene	gene75	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0076
MSMEG_0077	MSMEG_0077		MSMEG_0077	101776	102093	-	hypothetical protein		gene	gene76	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0077
MSMEG_0078	MSMEG_0078		MSMEG_0078	102127	102702	-	hypothetical protein		gene	gene77	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0078
MSMEG_0079	MSMEG_0079		MSMEG_0079	102936	103682	-	hypothetical protein		gene	gene78	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0079
MSMEG_0080	MSMEG_0080		MSMEG_0080	103713	104243	-	hypothetical protein		gene	gene79	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0080
MSMEG_0081	MSMEG_0081		MSMEG_0081	104251	104583	-	hypothetical protein		gene	gene80	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0081
MSMEG_0082	MSMEG_0082		MSMEG_0082	104594	105988	-	hypothetical protein		gene	gene81	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0082
MSMEG_0083	MSMEG_0083		MSMEG_0083	105985	107334	-	membrane-anchored mycosin mycp1	identified by match to protein family HMM PF00082	gene	gene82	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0083
MSMEG_0084	MSMEG_0084		MSMEG_0084	107565	107822	-	phosphocarrier protein HPr	identified by match to protein family HMM PF00381%3B match to protein family HMM TIGR01003	gene	gene83	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0084
MSMEG_0085	MSMEG_0085		MSMEG_0085	107834	109849	-	PTS system%2C Fru family protein%2C IIABC components	identified by match to protein family HMM PF00359%3B match to protein family HMM PF02378%3B match to protein family HMM PF02379%3B match to protein family HMM TIGR00829%3B match to protein family HMM TIGR00848%3B match to protein family HMM TIGR01427	gene	gene84	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0085
MSMEG_0086	MSMEG_0086		MSMEG_0086	109846	110829	-	1-phosphofructokinase	identified by match to protein family HMM PF00294	gene	gene85	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0086
MSMEG_0087	MSMEG_0087		MSMEG_0087	110826	111593	-	glucitol operon repressor	identified by match to protein family HMM PF00455%3B match to protein family HMM PF08220	gene	gene86	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0087
MSMEG_0088	MSMEG_0088	ptsI	ptsI	111735	113369	+	phosphoenolpyruvate-protein phosphotransferase	identified by match to protein family HMM PF00391%3B match to protein family HMM PF02896%3B match to protein family HMM PF05524%3B match to protein family HMM TIGR01417	gene	gene87	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0088
MSMEG_0089	MSMEG_0089		MSMEG_0089	113433	114407	+	chromosome condensation protein	identified by match to protein family HMM PF02678%3B match to protein family HMM PF05726	gene	gene88	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0089
MSMEG_0090	MSMEG_0090		MSMEG_0090	114447	116594	-	hypothetical protein		gene	gene89	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0090
MSMEG_0091	MSMEG_0091		MSMEG_0091	116600	117193	-	transcriptional regulator		gene	gene90	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0091
MSMEG_0092	MSMEG_0092		MSMEG_0092	117306	117941	+	transcriptional regulatory protein	identified by match to protein family HMM PF00440	gene	gene91	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0092
MSMEG_0093	MSMEG_0093		MSMEG_0093	118003	118965	+	methyltransferase	identified by match to protein family HMM PF02409%3B match to protein family HMM TIGR00027	gene	gene92	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0093
MSMEG_0094	MSMEG_0094		MSMEG_0094	119878	120057	-	hypothetical protein		gene	gene94	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0094
MSMEG_0095	MSMEG_0095		MSMEG_0095	118962	119897	+	methyltransferase	identified by match to protein family HMM PF02409%3B match to protein family HMM TIGR00027	gene	gene93	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0095
MSMEG_0096	MSMEG_0096		MSMEG_0096	120261	121115	+	peroxisomal hydratase-dehydrogenase-epimerase	identified by match to protein family HMM PF00106	gene	gene95	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0096
MSMEG_0097	MSMEG_0097		MSMEG_0097	121119	122084	+	oxidoreductase%2C zinc-binding dehydrogenase	identified by match to protein family HMM PF00107	gene	gene96	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0097
MSMEG_0098	MSMEG_0098		MSMEG_0098	122105	122818	+	methyltransferase	identified by match to protein family HMM PF01209	gene	gene97	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0098
MSMEG_0099	MSMEG_0099		MSMEG_0099	122829	123314	+	hypothetical protein		gene	gene98	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0099
MSMEG_0100	MSMEG_0100		MSMEG_0100	123837	124643	-	phosphotyrosine protein phosphatase ptpb		gene	gene100	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0100
MSMEG_0101	MSMEG_0101		MSMEG_0101	123311	123865	+	hypothetical protein		gene	gene99	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0101
MSMEG_0102	MSMEG_0102		MSMEG_0102	124640	125875	-	acyl-CoA dehydrogenase	identified by match to protein family HMM PF00441%3B match to protein family HMM PF02770%3B match to protein family HMM PF08028	gene	gene101	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0102
MSMEG_0103	MSMEG_0103		MSMEG_0103	125900	127099	-	major facilitator family protein transporter	identified by match to protein family HMM PF07690	gene	gene102	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0103
MSMEG_0104	MSMEG_0104		MSMEG_0104	127143	128024	-	LysR family transcriptional regulator	identified by match to protein family HMM PF00126%3B match to protein family HMM PF03466	gene	gene103	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0104
MSMEG_0105	MSMEG_0105		MSMEG_0105	128084	128734	+	LuxR family transcriptional regulator	identified by match to protein family HMM PF00072%3B match to protein family HMM PF00196	gene	gene104	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0105
MSMEG_0106	MSMEG_0106		MSMEG_0106	128750	129916	+	sensory histidine kinase	identified by match to protein family HMM PF02518	gene	gene105	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0106
MSMEG_0107	MSMEG_0107		MSMEG_0107	129926	131527	-	cell envelope-related function transcriptional attenuator	identified by match to protein family HMM PF03816%3B match to protein family HMM TIGR00350	gene	gene106	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0107
MSMEG_0108	MSMEG_0108		MSMEG_0108	131570	132709	-	acyl-CoA dehydrogenase	identified by match to protein family HMM PF00441%3B match to protein family HMM PF02770%3B match to protein family HMM PF02771%3B match to protein family HMM PF08028	gene	gene107	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0108
MSMEG_0109	MSMEG_0109	pntB	pntB	132711	134153	-	NAD(P) transhydrogenase subunit beta	identified by similarity to SP:P07002%3B match to protein family HMM PF02233	gene	gene108	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0109
MSMEG_0110	MSMEG_0110	pntA	pntA	134172	135713	-	NAD(P) transhydrogenase subunit alpha	forms a tetramer composed of 2 subunit alphas and 2 beta subunits in the inner membrane%3B involved in catalyzing transfer of hydride ion equivalents between NAD and NADP%3B stereospecific (AB-specific)%3B functions as a proton pump by translocating protons from cytoplasm to periplasm	gene	gene109	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0110
MSMEG_0111	MSMEG_0111		MSMEG_0111	135783	136787	-	magnesium transporter	identified by match to protein family HMM PF01544	gene	gene110	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0111
MSMEG_0112	MSMEG_0112		MSMEG_0112	136796	136912	-	hypothetical protein		gene	gene111	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0112
MSMEG_0113	MSMEG_0113		MSMEG_0113	136950	137810	+	taurine transporter permease TauC	identified by match to protein family HMM PF00528	gene	gene112	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0113
MSMEG_0114	MSMEG_0114		MSMEG_0114	137817	138845	+	extracellular solute-binding protein	identified by match to protein family HMM PF04069	gene	gene113	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0114
MSMEG_0115	MSMEG_0115	dehII	dehII	139607	140287	-	haloacid dehalogenase	identified by match to protein family HMM PF00702%3B match to protein family HMM TIGR01428%3B match to protein family HMM TIGR01493	gene	gene115	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0115
MSMEG_0116	MSMEG_0116		MSMEG_0116	138829	139626	+	taurine import ATP-binding protein TauB	identified by match to protein family HMM PF00005	gene	gene114	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0116
MSMEG_0117	MSMEG_0117		MSMEG_0117	140284	141147	-	hydrolase	identified by match to protein family HMM PF00561	gene	gene116	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0117
MSMEG_0118	MSMEG_0118		MSMEG_0118	141232	141732	+	hypothetical protein	identified by match to protein family HMM PF07336	gene	gene117	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0118
MSMEG_0119	MSMEG_0119		MSMEG_0119	141740	141850	-	hypothetical protein		gene	gene118	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0119
MSMEG_0120	MSMEG_0120		MSMEG_0120	141969	142628	+	transcriptional regulatory protein	identified by match to protein family HMM PF00440	gene	gene119	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0120
MSMEG_0121	MSMEG_0121		MSMEG_0121	142625	143398	+	rhamnolipid biosynthesis 3-oxoacyl-ACP reductase	identified by match to protein family HMM PF00106%3B match to protein family HMM PF01370	gene	gene120	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0121
MSMEG_0122	MSMEG_0122		MSMEG_0122	143535	144542	+	periplasmic solute-binding protein	identified by match to protein family HMM PF03401	gene	gene121	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0122
MSMEG_0123	MSMEG_0123		MSMEG_0123	144542	145048	+	hypothetical protein		gene	gene122	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0123
MSMEG_0124	MSMEG_0124		MSMEG_0124	146549	147232	-	GntR family transcriptional regulator	identified by match to protein family HMM PF00392%3B match to protein family HMM PF07729	gene	gene124	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0124
MSMEG_0125	MSMEG_0125		MSMEG_0125	145067	146593	+	integral membrane protein	identified by match to protein family HMM PF01970	gene	gene123	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0125
MSMEG_0126	MSMEG_0126		MSMEG_0126	147229	148347	-	mandelate racemase/muconate lactonizing enzyme	identified by match to protein family HMM PF01188%3B match to protein family HMM PF02746	gene	gene125	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0126
MSMEG_0127	MSMEG_0127		MSMEG_0127	148387	149478	-	oxidoreductase%2C zinc-binding dehydrogenase	identified by match to protein family HMM PF00107	gene	gene126	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0127
MSMEG_0128	MSMEG_0128		MSMEG_0128	149514	149963	+	thioesterase	identified by match to protein family HMM PF03061	gene	gene127	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0128
MSMEG_0129	MSMEG_0129		MSMEG_0129	149990	150424	+	cyclase/dehydrase	similar to Streptomyces cyclase/dehydrase%3B identified by match to protein family HMM PF03364	gene	gene128	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0129
MSMEG_0130	MSMEG_0130		MSMEG_0130	150431	151123	-	GntR family transcriptional regulator	identified by match to protein family HMM PF00392	gene	gene129	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0130
